Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
11;Métro;CHATELET;12829472;1;4;7;11;14;Paris;1
40;Métro;STALINGRAD;7226584;2;5;7;;;Paris;19
10;Métro;BASTILLE;13239442;1;5;8;;;Paris;12
1;Métro;GARE DU NORD;50860744;4;5;;;;Paris;10
28;Métro;BIR-HAKEIM;8172283;6;;;;;Paris;15
8;Métro;LES HALLES;16107112;4;;;;;Paris;1
17;Métro;FRONT POPULAIRE;10699637;12;;;;;Saint Denis / Aubervilliers;
43;Métro;MADELEINE;7089433;8;12;14;;;Paris;8
45;Métro;GAMBETTA;7052652;3;3bis;;;;Paris;20
74;Métro;DAUMESNIL;5313490;6;8;;;;Paris;12
60;Métro;COUR SAINT-EMILION;6022116;14;;;;;Paris;12
59;Métro;ANVERS;6032609;2;;;;;Paris;18
91;Métro;BASILIQUE DE SAINT-DENIS;4839973;13;;;;;Saint Denis;
90;Métro;SAINT-DENIS-UNIVERSITE;4858033;13;;;;;Saint Denis;
42;Métro;MAIRIE DE CLICHY;7107063;13;;;;;Clichy;
77;Métro;GABRIEL PERI;5264003;13;;;;;Asnières;
65;Métro;GALLIENI;5863396;3;;;;;Bagnolet;
123;Métro;ARTS ET METIERS;4026218;3;11;;;;Paris;3
107;Métro;OBERKAMPF;4402589;5;9;;;;Paris;11
148;Métro;DUROC;3584770;10;13;;;;Paris;7
112;Métro;PORTE DE BAGNOLET;4293544;3;;;;;Paris;20
106;Métro;JULES JOFFRIN;4416975;12;;;;;Paris;18
151;Métro;POISSONNIERE;3529368;7;;;;;Paris;10
150;Métro;LES GOBELINS;3532761;7;;;;;Paris;13
108;Métro;LE KREMLIN-BICETRE;4368647;7;;;;;Kremlin-Bicêtre;
146;Métro;CRETEIL-UNIVERSITE;3605792;8;;;;;Créteil;
99;Métro;ROBESPIERRE;4661231;9;;;;;Montreuil;
176;Métro;PLACE DES FETES;3083242;7bis;11;;;;Paris;19
182;Métro;NOTRE-DAME-DE-LORETTE;2989683;12;;;;;Paris;9
174;Métro;QUAI DE LA GARE;3114195;6;;;;;Paris;13
204;Métro;MALESHERBES;2633146;3;;;;;Paris;17
205;Métro;COURCELLES;2626896;2;;;;;Paris;17
153;Métro;JOURDAIN;3512790;11;;;;;Paris;20
185;Métro;ARGENTINE;2950929;1;;;;;Paris;17
175;Métro;SIMPLON;3083837;4;;;;;Paris;18
